s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
3.158898,4.233052,3.455241,1.249661194,2.500000000,0.400000,outer,ccw
3.168888,4.236087,3.464759,1.274637041,2.500000000,0.400000,outer,ccw
3.178878,4.238883,3.474350,1.299612888,2.500000000,0.400000,outer,ccw
3.188869,4.241439,3.484008,1.324588735,2.500000000,0.400000,outer,ccw
3.198858,4.243752,3.493726,1.349564581,2.500000000,0.400000,outer,ccw
3.208848,4.245823,3.503499,1.374540428,2.500000000,0.400000,outer,ccw
3.218838,4.247648,3.513321,1.399516275,2.500000000,0.400000,outer,ccw
3.228829,4.249228,3.523186,1.424469130,2.474408853,0.404137,outer,ccw
3.238819,4.250566,3.533086,1.448097607,2.266276797,0.441252,outer,ccw
3.248809,4.251680,3.543014,1.469646777,2.058144741,0.485874,outer,ccw
3.258799,4.252590,3.552962,1.489116637,1.850012684,0.540537,outer,ccw
3.268789,4.253317,3.562926,1.506507189,1.641880628,0.609058,outer,ccw
3.278779,4.253881,3.572900,1.521818432,1.433748572,0.697472,outer,ccw
3.288770,4.254302,3.582882,1.535050366,1.225616515,0.815916,outer,ccw
3.298761,4.254602,3.592868,1.546202992,1.017484459,0.982816,outer,ccw
3.308750,4.254800,3.602856,1.555276309,0.809352403,1.235556,outer,ccw
3.318740,4.254919,3.612845,1.562270318,0.601220347,1.663284,outer,ccw
3.328731,4.254978,3.622836,1.567185018,0.393088291,2.543958,outer,ccw
3.338721,4.254998,3.632826,1.570020409,0.184956236,5.406684,outer,ccw
3.348711,4.255000,3.642816,1.570796327,0.000000000,,outer,ccw
3.358702,4.255000,3.652807,1.570796327,0.000000000,,outer,ccw
3.368692,4.255000,3.662797,1.570796327,0.000000000,,outer,ccw
3.378682,4.255000,3.672787,1.570796327,0.000000000,,outer,ccw
3.388673,4.255000,3.682778,1.570796327,0.000000000,,outer,ccw
3.398663,4.255000,3.692768,1.570796327,0.000000000,,outer,ccw
3.408653,4.255000,3.702758,1.570796327,0.000000000,,outer,ccw
3.418644,4.255000,3.712749,1.570796327,0.000000000,,outer,ccw
3.428634,4.255000,3.722739,1.570796327,0.000000000,,outer,ccw
3.438624,4.255000,3.732729,1.570796327,0.000000000,,outer,ccw
3.448615,4.255000,3.742720,1.570796327,0.000000000,,outer,ccw
3.458605,4.255000,3.752710,1.570796327,0.000000000,,outer,ccw
3.468595,4.255000,3.762700,1.570796327,0.000000000,,outer,ccw
3.478586,4.255000,3.772691,1.570796327,0.000000000,,outer,ccw
3.488576,4.255000,3.782681,1.570796327,0.000000000,,outer,ccw
3.498566,4.255000,3.792671,1.570796327,0.000000000,,outer,ccw
3.508557,4.255000,3.802662,1.570796327,0.000000000,,outer,ccw
3.518547,4.255000,3.812652,1.570796327,0.000000000,,outer,ccw
3.528537,4.255000,3.822642,1.570796327,0.000000000,,outer,ccw
3.538528,4.255000,3.832633,1.570796327,0.000000000,,outer,ccw
3.548518,4.255000,3.842623,1.570796327,0.000000000,,outer,ccw
3.558508,4.255000,3.852613,1.570796327,0.000000000,,outer,ccw
3.568499,4.255000,3.862604,1.570796327,0.000000000,,outer,ccw
3.578489,4.255000,3.872594,1.570796327,0.000000000,,outer,ccw
3.588479,4.255000,3.882584,1.570966389,0.078924171,12.670390,outer,ccw
3.598470,4.254990,3.892575,1.572846511,0.287056226,3.483638,outer,ccw
3.608460,4.254952,3.902565,1.576805942,0.495188282,2.019434,outer,ccw
3.618451,4.254863,3.912555,1.582844681,0.703320337,1.421827,outer,ccw
3.628441,4.254704,3.922544,1.590962729,0.911452392,1.097150,outer,ccw
3.638431,4.254454,3.932531,1.601160086,1.119584448,0.893189,outer,ccw
