s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,tube,direction
1.328693,0.849294,4.206212,0.837559723,-2.500000000,0.400000,inner,cw
1.338683,0.856072,4.213551,0.812583876,-2.500000000,0.400000,inner,cw
1.348673,0.863032,4.220718,0.787608030,-2.500000000,0.400000,inner,cw
1.358663,0.870168,4.227709,0.762632183,-2.500000000,0.400000,inner,cw
1.368654,0.877477,4.234520,0.737656336,-2.500000000,0.400000,inner,cw
1.378643,0.884953,4.241146,0.712680489,-2.500000000,0.400000,inner,cw
1.388634,0.892593,4.247583,0.687704643,-2.500000000,0.400000,inner,cw
1.398624,0.900391,4.253828,0.662728796,-2.500000000,0.400000,inner,cw
1.408613,0.908342,4.259875,0.637752950,-2.500000000,0.400000,inner,cw
1.418604,0.916442,4.265723,0.612777103,-2.500000000,0.400000,inner,cw
1.428594,0.924686,4.271366,0.587801256,-2.500000000,0.400000,inner,cw
1.438584,0.933068,4.276801,0.562825410,-2.500000000,0.400000,inner,cw
1.448574,0.941583,4.282026,0.537849563,-2.500000000,0.400000,inner,cw
1.458564,0.950226,4.287036,0.512873716,-2.500000000,0.400000,inner,cw
1.468554,0.958991,4.291829,0.487897870,-2.500000000,0.400000,inner,cw
1.478544,0.967873,4.296402,0.462922023,-2.500000000,0.400000,inner,cw
1.488534,0.976867,4.300751,0.437946177,-2.500000000,0.400000,inner,cw
1.498524,0.985966,4.304874,0.412970330,-2.500000000,0.400000,inner,cw
1.508515,0.995166,4.308769,0.387994483,-2.500000000,0.400000,inner,cw
1.518505,1.004460,4.312433,0.363018637,-2.500000000,0.400000,inner,cw
1.528494,1.013842,4.315863,0.338042790,-2.500000000,0.400000,inner,cw
1.538485,1.023308,4.319058,0.313066944,-2.500000000,0.400000,inner,cw
1.548475,1.032850,4.322016,0.288091097,-2.500000000,0.400000,inner,cw
1.558465,1.042463,4.324735,0.263115250,-2.500000000,0.400000,inner,cw
1.568455,1.052141,4.327213,0.238139404,-2.500000000,0.400000,inner,cw
1.578445,1.061878,4.329448,0.213163557,-2.500000000,0.400000,inner,cw
1.588435,1.071667,4.331439,0.188187711,-2.500000000,0.400000,inner,cw
1.598425,1.081504,4.333185,0.163211864,-2.500000000,0.400000,inner,cw
1.608415,1.091380,4.334686,0.138467257,-2.396759669,0.417230,inner,cw
1.618405,1.101290,4.335949,0.115510440,-2.188627614,0.456907,inner,cw
1.628395,1.111225,4.336995,0.094632931,-1.980495559,0.504924,inner,cw
1.638386,1.121180,4.337844,0.075834730,-1.772363504,0.564218,inner,cw
1.648376,1.131147,4.338516,0.059115838,-1.564231449,0.639292,inner,cw
1.658366,1.141124,4.339031,0.044476255,-1.356099394,0.737409,inner,cw
1.668356,1.151107,4.339411,0.031915980,-1.147967338,0.871105,inner,cw
1.678347,1.161094,4.339676,0.021435014,-0.939835283,1.064016,inner,cw
1.688337,1.171083,4.339846,0.013033357,-0.731703228,1.366674,inner,cw
1.698328,1.181073,4.339943,0.006711008,-0.523571172,1.909960,inner,cw
1.708318,1.191063,4.339987,0.002467968,-0.315439117,3.170184,inner,cw
1.718308,1.201053,4.339999,0.000304237,-0.107307061,9.319051,inner,cw
1.728299,1.211044,4.340000,-0.000000000,-0.000000000,,inner,cw
1.738289,1.221034,4.339997,-0.000815154,-0.160333783,6.236989,inner,cw
1.748279,1.231024,4.339979,-0.003147318,-0.303803287,3.291604,inner,cw
1.758270,1.241015,4.339930,-0.006831418,-0.431004866,2.320159,inner,cw
1.768260,1.251005,4.339838,-0.011707039,-0.542480220,1.843385,inner,cw
1.778251,1.260995,4.339692,-0.017620549,-0.638795433,1.565446,inner,cw
1.788245,1.270986,4.339483,-0.024424384,-0.720502782,1.387920,inner,cw
1.798238,1.280976,4.339202,-0.031974517,-0.788131641,1.268824,inner,cw
1.808235,1.290966,4.338842,-0.040134595,-0.842246121,1.187301,inner,cw
1.818236,1.300957,4.338398,-0.048774266,-0.883421904,1.131962,inner,cw
1.828240,1.310947,4.337865,-0.057766435,-0.912245453,1.096196,inner,cw
1.838249,1.320937,4.337242,-0.066992639,-0.929341730,1.076030,inner,cw
1.848266,1.330928,4.336524,-0.076340724,-0.935357119,1.069110,inner,cw
1.858289,1.340918,4.335713,-0.085702108,-0.930961084,1.074159,inner,cw
1.868320,1.350908,4.334808,-0.094977560,-0.916845810,1.090696,inner,cw
1.878361,1.360899,4.333810,-0.104074472,-0.893714552,1.118925,inner,cw
1.888410,1.370889,4.332722,-0.112904248,-0.862286418,1.159707,inner,cw
1.898469,1.380879,4.331546,-0.121387814,-0.823275311,1.214660,inner,cw
1.908539,1.390870,4.330286,-0.129452720,-0.777386411,1.286362,inner,cw
